,CP_1,CP_10,CP_2,CP_3,CP_4,CP_5,CP_6,CP_7,CP_8,CP_9,NP_1,NP_10,NP_2,NP_3,NP_4,NP_5,NP_6,NP_7,NP_8,NP_9,A_1,A_10,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,FC_1,FC_10,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,AC_1,AC_10,AC_2,AC_3,AC_4,AC_5,AC_6,AC_7,AC_8,AC_9,sum_cp,sum_np,sum_a,sum_fc,sum_ac
14630,3,4,4,4,4,2,4,3,1,1,4,4,3,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4,3,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,3,4,4,4,4,4,30,37,37,35,39
14629,4,4,2,4,4,3,2,3,1,2,5,4,4,4,2,4,4,3,3,4,4,4,3,4,3,4,4,4,4,4,4,3,2,4,2,2,4,1,3,3,5,3,3,3,4,4,2,1,3,2,29,37,38,28,30
14626,3,4,3,4,4,2,2,2,1,1,4,3,4,4,3,4,4,4,3,4,3,3,3,3,3,4,3,4,3,4,4,4,3,2,2,3,3,2,3,3,3,3,4,4,4,4,3,2,3,3,26,37,33,29,33
14624,2,4,1,4,4,2,1,4,1,1,4,3,5,2,4,4,4,4,5,3,5,5,5,5,3,4,5,4,4,4,4,4,3,3,1,1,2,1,1,3,3,2,4,4,5,5,3,1,2,2,24,38,44,23,31
14627,3,4,1,4,5,2,2,1,1,1,4,4,4,3,3,5,5,3,1,4,3,4,4,3,2,4,3,4,3,4,4,3,3,4,2,3,2,3,1,2,3,4,3,4,4,2,1,1,4,1,24,36,34,27,27
14647,5,5,4,4,5,2,3,3,2,4,4,3,5,5,4,4,4,4,4,3,4,4,4,3,4,5,3,5,4,3,4,3,4,4,3,2,4,3,4,2,4,3,5,4,5,2,2,2,4,2,37,40,39,33,33
14644,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30,30,30,30,30
14655,5,3,5,4,3,4,2,3,1,3,5,3,5,3,4,4,3,3,2,3,5,3,3,3,4,3,4,3,4,3,5,3,1,4,2,3,3,4,4,3,5,3,3,2,4,3,3,2,4,3,33,35,35,32,32
14638,3,4,2,5,5,2,2,3,1,2,4,4,4,4,4,4,4,3,2,4,3,4,4,2,4,4,3,4,4,5,4,2,3,2,2,4,3,2,3,2,5,2,3,4,4,3,2,2,3,1,29,37,37,27,29
14653,3,4,2,4,4,1,1,2,1,4,4,3,4,4,4,4,4,4,1,4,4,4,4,4,3,4,4,4,3,3,4,4,1,3,1,3,3,1,1,2,4,1,5,4,4,5,3,1,4,2,26,36,37,23,33
14649,4,5,5,5,4,1,2,4,1,3,4,5,4,5,3,4,5,4,2,3,5,4,5,4,4,5,3,5,3,4,5,5,5,4,3,3,4,2,2,4,4,3,3,4,3,2,2,2,3,2,34,39,42,37,28
14665,4,5,2,4,4,1,2,1,1,5,4,4,2,3,3,3,5,2,1,3,5,3,2,4,3,3,3,3,1,2,4,4,3,3,3,3,2,1,1,3,5,1,4,3,3,4,2,3,3,1,29,30,29,27,29
14666,3,4,2,5,4,3,1,2,1,1,4,4,4,2,4,4,4,4,3,4,4,4,3,3,3,3,4,4,3,4,4,3,4,3,2,2,4,2,1,3,5,1,3,3,4,3,3,2,4,2,26,37,35,28,30
14641,5,5,3,5,5,3,1,3,1,3,5,5,4,3,2,5,5,5,1,5,5,5,4,4,1,5,4,5,5,5,5,1,3,5,1,1,3,3,1,3,5,3,2,1,3,5,1,1,3,1,34,40,43,26,25
14669,3,5,1,4,4,1,1,3,1,1,4,2,4,1,2,4,5,2,1,2,5,4,3,4,1,3,5,4,3,4,5,1,3,3,2,1,3,1,1,1,4,1,2,2,3,4,1,1,2,1,24,27,36,21,21
14648,3,4,2,4,4,1,3,3,1,2,4,4,4,3,4,3,4,4,3,4,4,4,3,4,4,4,3,3,3,3,4,3,4,3,3,2,3,3,3,4,4,2,3,4,4,4,3,2,4,2,27,37,35,32,32
14684,4,4,3,4,3,3,3,3,2,2,4,4,3,4,4,3,4,4,4,4,3,4,4,4,2,4,3,4,4,4,3,3,4,3,2,3,3,3,2,3,3,2,3,3,4,4,3,2,3,2,31,38,36,29,29
14710,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,2,2,3,4,3,3,3,4,4,4,2,4,4,38,38,38,33,35
14640,2,4,1,5,4,2,1,2,1,1,4,1,4,4,3,3,5,4,4,2,4,3,5,2,3,3,5,4,4,5,4,1,2,2,1,1,3,3,3,1,2,1,4,3,4,4,2,1,2,1,23,34,38,21,24
14657,4,5,3,4,5,3,2,2,1,2,5,3,4,2,3,5,3,3,4,2,4,4,3,4,3,4,4,4,3,2,4,4,3,3,3,3,2,1,1,2,4,1,3,4,4,4,2,1,2,1,31,34,35,26,26
14699,3,3,2,4,3,1,1,1,1,1,4,3,4,2,4,3,3,3,1,4,4,3,2,3,3,3,2,3,3,3,3,3,4,2,2,1,3,2,1,4,1,3,3,3,3,3,4,1,1,3,20,31,29,25,25
14668,3,3,3,4,3,3,3,3,3,3,4,4,3,2,4,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,31,33,32,31,28
14642,2,3,2,4,4,3,2,2,1,3,4,3,3,3,4,2,4,3,2,2,3,3,3,2,1,2,2,4,2,3,5,4,2,2,2,1,2,3,1,4,3,2,4,1,2,2,1,2,1,1,26,30,25,26,19
14695,4,3,2,4,4,2,2,2,2,2,4,3,4,2,4,4,4,2,3,2,4,3,4,3,3,3,3,3,3,4,4,3,3,3,2,2,2,2,2,3,3,3,4,4,4,3,3,2,3,2,27,32,33,26,31
14698,2,4,2,4,4,2,2,3,1,3,3,3,4,2,4,4,4,3,3,3,3,3,1,3,3,2,3,3,3,3,3,4,3,5,1,3,4,1,2,3,3,1,3,4,4,3,3,1,4,3,27,33,27,29,29
14733,2,4,2,5,5,3,1,4,1,2,5,4,5,5,3,4,5,5,3,4,5,5,5,2,4,5,4,5,3,4,5,3,4,5,2,1,2,2,3,3,2,1,5,5,5,4,1,1,2,2,29,43,42,30,28
14639,1,4,2,5,4,1,1,2,1,2,3,4,4,3,3,4,5,4,1,4,4,4,3,4,1,4,4,5,3,4,4,3,2,3,1,2,2,1,1,2,2,2,3,2,3,3,4,2,3,1,23,35,36,21,25
14693,2,5,1,5,5,1,1,2,1,1,5,4,5,3,4,5,5,3,4,4,5,5,4,5,2,4,4,4,4,5,5,2,5,3,1,1,4,1,1,1,4,2,3,2,5,5,2,1,2,1,24,42,42,24,27
14677,2,3,1,4,3,2,2,3,1,1,2,3,4,3,3,3,4,3,2,3,4,3,3,4,2,3,3,3,3,3,5,3,4,3,1,2,3,1,1,3,3,4,2,3,4,3,2,1,3,1,22,30,31,26,26
14658,2,3,2,4,4,2,2,3,2,2,4,3,4,2,2,4,4,3,2,4,4,4,3,3,2,3,4,4,4,3,3,2,3,3,2,2,4,2,2,3,3,2,2,2,2,4,2,2,3,2,26,32,34,26,24
14738,4,4,3,4,4,3,3,3,2,3,4,4,3,4,4,4,3,4,3,3,3,4,3,4,3,4,3,4,3,3,3,2,3,4,2,3,4,2,3,4,4,3,4,3,4,4,3,2,3,2,33,36,34,30,32
14778,4,4,2,4,4,3,2,3,1,2,4,3,4,3,3,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,2,3,4,2,2,1,4,3,3,4,4,4,2,2,4,4,29,36,38,30,34
14637,3,4,3,4,5,2,2,3,1,2,4,3,3,2,2,3,3,3,2,2,5,4,3,2,4,4,3,4,3,3,5,4,3,3,2,2,3,2,2,3,3,2,4,3,4,3,1,2,2,2,29,27,35,29,26
14763,2,5,1,5,5,3,2,4,1,1,5,5,5,2,5,5,4,5,1,5,3,4,2,5,4,4,2,5,4,4,5,2,4,4,1,2,5,3,2,4,3,4,4,5,5,5,4,4,4,1,29,42,37,32,39
14779,4,4,3,4,4,2,1,2,2,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,5,3,3,4,2,4,1,2,4,3,4,4,4,2,4,2,1,4,2,30,37,39,32,30
14775,3,3,3,3,4,3,3,4,3,3,4,4,3,3,3,4,4,3,3,3,4,4,4,4,3,3,4,4,4,3,4,4,3,4,4,3,3,4,4,3,4,4,3,3,3,4,3,4,4,3,32,34,37,36,35
14709,3,4,2,4,4,2,1,3,1,2,4,2,3,2,3,4,4,2,3,2,4,4,3,4,3,4,4,4,4,4,4,3,2,3,3,2,4,1,2,4,4,2,3,3,3,3,2,1,2,2,26,29,38,28,25
14802,4,3,3,3,3,3,3,2,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,2,3,4,3,3,2,2,4,3,3,3,3,4,2,3,3,3,3,3,2,3,2,3,3,3,3,3,30,27,28,31,28
14628,3,5,1,5,5,1,1,2,1,2,5,5,5,4,4,5,4,3,2,4,4,3,2,5,3,4,4,4,4,4,3,3,3,4,1,2,3,2,1,3,3,3,3,4,4,4,3,2,3,1,26,41,37,25,30
14783,4,5,2,5,5,1,1,3,1,2,5,5,5,4,4,5,5,1,3,4,3,5,4,5,1,5,5,5,5,5,5,1,3,5,1,1,3,1,1,4,5,1,2,1,2,3,1,1,2,1,29,41,43,25,19
14787,3,4,2,3,3,2,2,3,1,2,3,2,3,2,3,3,3,3,2,2,3,3,3,3,3,3,4,3,3,3,3,3,1,1,2,2,3,2,2,2,3,1,3,3,3,3,3,2,3,2,25,26,31,21,26
14673,3,5,1,5,4,1,1,2,1,1,4,4,4,4,2,5,5,3,1,4,3,5,3,5,2,4,5,5,4,4,4,2,4,4,1,1,4,1,1,3,4,2,2,1,4,5,2,1,2,1,24,36,40,25,24
14714,3,4,1,5,5,1,2,3,1,1,4,3,4,4,3,4,4,2,3,4,4,4,4,4,3,4,3,4,4,5,5,1,4,3,1,2,3,3,3,2,3,2,3,4,4,3,1,1,4,1,26,35,39,27,26
14805,3,4,3,4,4,3,2,3,2,2,2,4,4,3,4,3,4,3,2,4,3,4,2,3,4,4,3,4,4,3,4,2,3,4,2,2,3,2,2,4,1,2,3,3,4,4,3,3,2,2,30,33,34,28,27
14804,2,4,2,4,4,2,2,3,1,2,4,3,4,3,4,4,4,4,3,3,4,4,3,3,2,4,4,4,4,4,4,2,2,3,2,2,3,3,2,3,4,3,2,4,4,4,2,2,3,1,26,36,36,26,29
14809,2,3,3,5,4,4,2,2,1,4,3,2,3,2,3,4,4,4,1,3,4,4,4,1,4,2,2,3,4,3,5,4,1,3,3,4,2,4,1,3,2,4,3,3,3,2,3,3,4,2,30,29,31,30,29
14711,3,4,2,5,4,3,2,3,1,1,4,4,5,3,4,5,5,3,1,3,4,3,3,4,4,3,4,3,1,3,4,4,5,2,1,2,3,1,4,3,4,3,5,4,4,4,4,2,3,2,28,37,32,29,35
14708,3,3,2,4,4,2,2,3,2,2,4,3,3,3,4,3,4,3,3,3,4,3,4,2,2,3,4,3,3,4,4,3,3,3,3,3,4,2,2,2,3,4,3,3,4,4,3,2,3,2,27,33,32,29,31
14834,3,4,2,5,5,3,3,3,1,2,5,5,4,4,3,3,5,2,3,5,5,5,4,4,2,5,4,4,5,5,5,2,4,4,2,2,4,2,2,3,3,3,2,3,4,5,2,2,2,1,31,39,43,30,27
14814,3,3,2,5,4,1,1,3,1,2,4,3,4,3,2,5,3,2,1,4,4,4,3,5,2,4,4,4,5,4,4,2,3,3,1,1,3,1,1,3,4,2,2,2,3,3,1,1,3,2,25,31,39,22,23
14817,3,4,2,4,5,2,1,3,1,1,4,5,4,3,4,5,5,2,2,3,4,5,3,3,2,5,4,4,4,4,4,2,3,3,2,2,3,1,1,1,3,1,3,5,4,5,2,4,2,2,26,37,38,22,31
14849,4,4,2,5,4,2,1,3,2,5,4,5,5,5,3,5,5,3,3,5,4,5,4,4,3,3,3,4,3,5,5,4,2,4,3,4,4,4,5,5,5,3,5,5,5,4,2,4,4,1,32,43,38,40,38
14853,4,5,1,5,5,1,1,3,1,1,5,3,4,3,3,4,5,3,4,3,3,5,4,5,1,5,5,4,5,4,5,1,4,4,3,1,3,1,1,4,3,1,1,1,2,4,1,1,3,1,27,37,41,27,18
14858,3,4,2,4,4,2,2,2,1,2,4,4,4,3,3,4,3,3,2,4,3,4,3,3,4,4,4,3,4,3,4,2,2,4,3,2,3,1,1,2,4,2,4,3,4,4,2,1,4,4,26,34,35,24,32
14871,4,4,1,5,4,2,1,1,1,1,5,3,4,4,4,4,4,4,1,3,3,3,3,4,2,4,4,3,4,4,4,3,5,2,1,2,3,3,1,2,4,2,5,5,5,4,3,1,3,1,24,36,34,26,33
14883,2,4,2,4,4,1,1,2,1,2,4,3,4,3,4,4,4,3,1,3,4,3,3,3,3,4,3,3,3,3,2,3,2,2,2,1,3,4,2,2,3,3,4,4,4,4,3,2,4,3,23,33,32,23,34
14860,3,4,1,4,5,1,1,1,1,3,4,3,4,3,3,4,2,3,1,3,4,4,3,4,2,4,1,4,3,4,3,1,1,2,2,1,4,1,1,1,1,1,4,4,4,4,4,1,3,1,24,30,33,17,27
14707,2,4,2,4,4,2,2,2,1,2,4,4,3,2,5,4,4,4,2,4,3,4,4,3,4,4,2,4,2,3,4,4,3,2,3,4,3,1,1,4,4,4,3,3,4,3,2,2,3,3,25,36,33,29,31
14731,4,4,2,5,5,3,2,3,1,3,4,3,5,3,3,4,4,2,3,3,4,4,4,4,2,4,4,5,4,4,4,2,4,3,1,2,4,1,2,4,4,2,3,3,4,4,2,1,2,1,32,34,39,27,26
14930,4,3,3,3,4,3,3,4,2,2,2,2,3,2,3,4,3,3,3,3,2,3,3,3,3,4,4,3,3,3,3,3,2,3,2,3,3,3,3,2,3,3,3,3,3,4,2,3,3,3,31,28,31,27,30
14919,5,3,2,4,3,3,4,4,1,3,3,3,3,2,4,4,3,4,3,3,3,3,4,2,4,4,3,4,3,4,5,4,4,4,2,2,4,4,1,4,3,2,2,4,4,3,2,1,2,1,32,32,34,34,24
14623,3,4,2,4,4,1,1,3,1,4,4,4,5,4,4,5,4,4,4,5,4,4,5,4,3,4,2,4,4,4,4,4,5,4,1,2,4,2,2,3,4,1,3,3,3,3,2,1,3,1,27,43,38,31,24
15036,4,5,1,4,5,1,1,4,1,2,5,4,4,4,2,4,4,2,4,4,4,4,4,4,1,4,4,5,4,4,4,1,3,4,1,1,5,1,1,4,4,1,1,4,5,4,2,1,4,1,28,37,38,25,27
15062,2,3,1,4,4,3,3,2,1,2,3,3,3,3,3,3,4,2,3,3,3,3,3,4,1,3,3,4,3,3,3,3,4,3,2,2,4,1,1,3,3,2,3,2,2,3,3,2,3,1,25,30,30,26,24
15126,3,3,4,4,5,3,4,4,4,2,3,4,2,4,3,4,3,4,4,4,3,4,4,3,3,3,3,4,4,3,4,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,3,3,3,4,36,35,34,35,34
15149,2,4,2,5,4,2,2,3,1,2,4,4,4,2,3,4,4,3,2,2,4,4,4,4,2,4,4,4,4,4,4,2,1,2,3,2,3,2,2,1,3,3,2,4,4,3,3,2,3,2,27,32,38,22,29
15204,2,4,2,4,4,2,1,3,1,2,2,4,4,2,3,4,4,3,1,3,4,4,3,2,3,4,4,4,4,4,4,2,3,4,2,2,4,4,2,2,4,2,4,4,4,4,2,1,4,2,25,30,36,29,31
15222,5,4,2,5,5,3,1,3,1,2,5,4,5,3,4,4,4,4,4,4,5,5,4,4,4,5,4,4,5,4,4,3,1,5,1,2,4,1,2,4,4,2,3,4,4,5,2,3,3,2,31,41,44,27,32
15169,4,4,3,5,5,2,1,4,1,3,4,4,4,3,4,4,4,3,2,4,5,5,4,4,2,4,4,4,4,4,5,2,3,3,2,2,4,1,1,3,5,2,2,4,4,3,2,1,2,1,32,36,40,26,26
15272,3,3,3,3,4,2,2,3,2,3,4,3,3,2,3,4,2,3,1,2,4,3,4,3,3,3,4,3,3,3,3,2,3,3,2,3,3,4,2,2,3,2,3,2,2,3,2,2,3,2,28,27,33,27,24
15274,2,4,3,4,4,2,2,3,1,2,3,3,3,2,3,3,3,3,1,3,4,4,4,4,3,4,3,4,3,3,4,2,4,3,3,3,2,1,3,3,4,2,2,3,4,4,2,2,2,1,27,27,36,28,26
15244,5,4,3,4,3,2,2,3,2,2,4,4,4,2,4,4,4,4,2,3,4,4,4,2,2,3,2,4,3,4,4,4,5,4,3,3,3,3,3,3,3,3,4,4,5,4,3,3,2,3,30,35,32,35,34
15289,3,4,2,4,4,1,2,2,1,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,1,5,2,5,4,4,4,4,4,3,2,3,5,1,1,4,4,4,3,4,4,4,2,2,3,2,25,39,37,31,32
15291,3,4,2,4,5,2,3,3,1,2,4,3,3,3,3,4,4,3,2,3,4,4,4,3,2,4,4,4,4,4,4,2,2,4,2,2,3,2,1,2,3,2,2,2,4,3,2,1,3,1,29,32,37,24,23
15304,3,3,4,4,3,4,3,4,1,3,4,4,4,3,3,5,2,3,3,3,4,4,4,4,3,4,4,4,3,3,4,2,3,3,2,1,4,2,2,3,3,2,3,4,4,4,4,2,3,2,32,34,37,26,31
15361,2,3,1,4,3,1,3,3,1,1,4,2,4,2,2,3,4,2,3,3,3,3,4,3,3,3,3,3,2,4,3,4,3,4,3,3,4,3,2,4,3,3,2,2,3,3,2,2,4,4,22,29,31,33,28
15395,3,4,3,4,4,2,2,3,1,3,4,4,3,4,3,3,3,2,2,3,3,4,4,4,3,4,3,3,3,4,4,3,3,3,2,2,4,2,2,3,4,3,4,3,4,4,2,2,3,2,29,31,35,28,31
15400,2,3,2,4,4,2,2,3,2,2,4,4,3,3,2,4,4,3,2,4,4,4,3,4,2,3,4,4,4,4,4,2,3,4,3,2,4,4,2,3,3,3,2,2,2,3,2,2,3,3,26,33,36,31,25
15426,3,4,3,4,4,3,2,3,2,2,4,2,4,2,3,4,3,2,3,2,4,3,4,4,3,4,4,4,4,4,3,3,3,3,3,2,4,2,2,3,3,3,3,3,4,4,2,2,3,2,30,29,38,28,29
15396,3,4,3,4,4,2,2,3,1,2,4,4,3,3,3,4,4,4,2,2,3,4,4,3,3,4,3,4,4,4,3,2,3,5,1,2,3,1,2,3,4,1,3,3,4,4,3,1,1,1,28,33,36,25,25
15456,3,3,3,4,3,2,2,3,2,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3,3,3,3,3,3,2,3,2,27,28,30,26,28
15435,4,4,3,4,4,2,3,3,2,2,4,3,4,3,4,4,3,3,3,3,4,4,4,4,3,4,4,4,3,4,3,2,2,4,3,3,3,2,2,3,3,3,3,4,4,4,3,2,3,2,31,34,38,27,31
